"from","to","shared_paths","congruence","ts"
"CoRef","Opename","1","14.286","2025-10-09T20:59:57"
"CoRef","MeritRank","1","14.286","2025-10-09T20:59:57"
"CoRef","InSeed","1","14.286","2025-10-09T20:59:57"
"CoRef","RickPublic","1","14.286","2025-10-09T20:59:57"
"CoRef","GIBindex","1","14.286","2025-10-09T20:59:57"
"CoRef","EntMent","1","14.286","2025-10-09T20:59:57"
"CoRef","CoPolitic","1","14.286","2025-10-09T20:59:57"
"CoRef","Godspawn","1","14.286","2025-10-09T20:59:57"
"CoRef","CoModules","1","14.286","2025-10-09T20:59:57"
"CoRef","CoLaminar","1","14.286","2025-10-09T20:59:57"
"CoAgent__mvp3_resume-20250923-111953Z","CoCivium","12","14.286","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","CoCivium.clean","12","14.286","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","CoLaminar","12","14.286","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","GIBindex","12","14.286","2025-10-09T20:59:54"
"CoLaminar","CoCache","6","13.953","2025-10-09T20:59:57"
"CoCivium-outreach","Civium","227","13.909","2025-10-09T20:59:56"
"CoAgent","CoCivium.clean","13","13.684","2025-10-09T20:59:54"
"CoCivium","Civium","227","13.099","2025-10-09T20:59:55"
"CoAgent","GIBindex","12","12.632","2025-10-09T20:59:54"
"InSeed","GroupBuild-website","7","12.069","2025-10-09T20:59:58"
"InSeed","EntMent","7","12.069","2025-10-09T20:59:58"
"CoLaminar","MeritRank","5","11.628","2025-10-09T20:59:57"
"CoCivium-website","CoCache","1","11.111","2025-10-09T20:59:57"
"GroupBuild-website","InSeed","7","10.938","2025-10-09T20:59:57"
"CoModules","CoLaminar","11","10.577","2025-10-09T20:59:57"
"InSeed","GroupBuild","6","10.345","2025-10-09T20:59:58"
"EntMent","Opename","2","9.524","2025-10-09T20:59:57"
"EntMent","CoPolitic","2","9.524","2025-10-09T20:59:57"
"CoAgent__mvp3_resume-20250923-111953Z","CoCivium-website","8","9.524","2025-10-09T20:59:54"
"CoLaminar","Opename","4","9.302","2025-10-09T20:59:57"
"CoLaminar","CoPolitic","4","9.302","2025-10-09T20:59:57"
"InSeed","Opename","5","8.621","2025-10-09T20:59:58"
"CoAgent","CoCivium-website","8","8.421","2025-10-09T20:59:54"
"Opename","CoAgent__mvp3_resume-20250923-111953Z","1","8.333","2025-10-09T20:59:58"
"Opename","CoRef","1","8.333","2025-10-09T20:59:58"
"Opename","GIBindex","1","8.333","2025-10-09T20:59:58"
"Opename","Godspawn","1","8.333","2025-10-09T20:59:58"
"Opename","GroupBuild","1","8.333","2025-10-09T20:59:58"
"Opename","GroupBuild-website","1","8.333","2025-10-09T20:59:58"
"Opename","Civium","1","8.333","2025-10-09T20:59:58"
"Opename","rickballard","1","8.333","2025-10-09T20:59:58"
"Opename","CoModules","1","8.333","2025-10-09T20:59:58"
"Opename","RickPublic","1","8.333","2025-10-09T20:59:58"
"MeritRank","CoCivium","6","7.895","2025-10-09T20:59:58"
"MeritRank","CoCivium-outreach","6","7.895","2025-10-09T20:59:58"
"CoModules","GIBindex","8","7.692","2025-10-09T20:59:57"
"CoModules","CoCivium.clean","8","7.692","2025-10-09T20:59:57"
"CoAgent__mvp3_resume-20250923-111953Z","CoModules","6","7.143","2025-10-09T20:59:54"
"MeritRank","CoLaminar","5","6.579","2025-10-09T20:59:58"
"CoPolitic","Opename","5","6.41","2025-10-09T20:59:57"
"CoAgent","CoModules","6","6.316","2025-10-09T20:59:54"
"CoAgent","CoCache","6","6.316","2025-10-09T20:59:54"
"GIBindex","InSeed","2","6.25","2025-10-09T20:59:57"
"GIBindex","MeritRank","2","6.25","2025-10-09T20:59:57"
"GIBindex","CoPolitic","2","6.25","2025-10-09T20:59:57"
"GIBindex","GroupBuild-website","2","6.25","2025-10-09T20:59:57"
"GIBindex","Civium","2","6.25","2025-10-09T20:59:57"
"CoAgent__mvp3_resume-20250923-111953Z","CoCache","5","5.952","2025-10-09T20:59:54"
"CoModules","CoAgent","6","5.769","2025-10-09T20:59:57"
"CoModules","CoAgent__mvp3_resume-20250923-111953Z","6","5.769","2025-10-09T20:59:57"
"MeritRank","CoAgent","4","5.263","2025-10-09T20:59:58"
"MeritRank","CoCivium.clean","4","5.263","2025-10-09T20:59:58"
"MeritRank","CoPolitic","4","5.263","2025-10-09T20:59:58"
"MeritRank","Opename","4","5.263","2025-10-09T20:59:58"
"InSeed","CoPolitic","3","5.172","2025-10-09T20:59:58"
"CoPolitic","CoCivium-outreach","4","5.128","2025-10-09T20:59:57"
"CoPolitic","CoCivium","4","5.128","2025-10-09T20:59:57"
"CoPolitic","CoCivium.clean","4","5.128","2025-10-09T20:59:57"
"CoPolitic","CoLaminar","4","5.128","2025-10-09T20:59:57"
"CoPolitic","MeritRank","4","5.128","2025-10-09T20:59:57"
"CoModules","CoCache","5","4.808","2025-10-09T20:59:57"
"EntMent","Civium-Constitution","1","4.762","2025-10-09T20:59:57"
"EntMent","CoAgent","1","4.762","2025-10-09T20:59:57"
"EntMent","Civium","1","4.762","2025-10-09T20:59:57"
"RickPublic","CoCache","2","4.762","2025-10-09T20:59:58"
"EntMent","Godspawn","1","4.762","2025-10-09T20:59:57"
"EntMent","CoCivium","1","4.762","2025-10-09T20:59:57"
"EntMent","CoCache","1","4.762","2025-10-09T20:59:57"
"EntMent","CoCivium-outreach","1","4.762","2025-10-09T20:59:57"
"EntMent","CoCivium.clean","1","4.762","2025-10-09T20:59:57"
"EntMent","CoLaminar","1","4.762","2025-10-09T20:59:57"
"EntMent","CoAgent__mvp3_resume-20250923-111953Z","1","4.762","2025-10-09T20:59:57"
"EntMent","GroupBuild-website","1","4.762","2025-10-09T20:59:57"
"EntMent","CoModules","1","4.762","2025-10-09T20:59:57"
"EntMent","opename-ops","1","4.762","2025-10-09T20:59:57"
"EntMent","CoRef","1","4.762","2025-10-09T20:59:57"
"EntMent","MeritRank","1","4.762","2025-10-09T20:59:57"
"EntMent","rickballard","1","4.762","2025-10-09T20:59:57"
"EntMent","RickPublic","1","4.762","2025-10-09T20:59:57"
"EntMent","GIBindex","1","4.762","2025-10-09T20:59:57"
"GroupBuild-website","CoCivium","3","4.688","2025-10-09T20:59:57"
"GroupBuild-website","CoCivium-outreach","3","4.688","2025-10-09T20:59:57"
"GroupBuild-website","CoModules","3","4.688","2025-10-09T20:59:57"
"CoLaminar","Civium-Constitution","2","4.651","2025-10-09T20:59:57"
"CoLaminar","opename-ops","2","4.651","2025-10-09T20:59:57"
"CoLaminar","InSeed","2","4.651","2025-10-09T20:59:57"
"CoLaminar","GroupBuild-website","2","4.651","2025-10-09T20:59:57"
"Civium-Constitution","CoCivium","9","4.523","2025-10-09T20:59:54"
"Civium-Constitution","CoCivium-outreach","9","4.523","2025-10-09T20:59:54"
"CoAgent","MeritRank","4","4.211","2025-10-09T20:59:54"
"MeritRank","CoCache","3","3.947","2025-10-09T20:59:58"
"CoPolitic","CoModules","3","3.846","2025-10-09T20:59:57"
"CoPolitic","CoAgent","3","3.846","2025-10-09T20:59:57"
"CoPolitic","InSeed","3","3.846","2025-10-09T20:59:57"
"InSeed","GIBindex","2","3.448","2025-10-09T20:59:58"
"InSeed","MeritRank","2","3.448","2025-10-09T20:59:58"
"InSeed","CoModules","2","3.448","2025-10-09T20:59:58"
"InSeed","CoCivium.clean","2","3.448","2025-10-09T20:59:58"
"InSeed","CoCivium-outreach","2","3.448","2025-10-09T20:59:58"
"InSeed","CoCivium","2","3.448","2025-10-09T20:59:58"
"InSeed","CoCache","2","3.448","2025-10-09T20:59:58"
"InSeed","CoAgent__mvp3_resume-20250923-111953Z","2","3.448","2025-10-09T20:59:57"
"InSeed","CoAgent","2","3.448","2025-10-09T20:59:57"
"InSeed","CoLaminar","2","3.448","2025-10-09T20:59:58"
"CoAgent","CoPolitic","3","3.158","2025-10-09T20:59:54"
"CoAgent","Opename","3","3.158","2025-10-09T20:59:54"
"GroupBuild-website","CoAgent","2","3.125","2025-10-09T20:59:57"
"GIBindex","Civium-Constitution","1","3.125","2025-10-09T20:59:57"
"GIBindex","EntMent","1","3.125","2025-10-09T20:59:57"
"GIBindex","opename-ops","1","3.125","2025-10-09T20:59:57"
"GIBindex","rickballard","1","3.125","2025-10-09T20:59:57"
"GIBindex","CoRef","1","3.125","2025-10-09T20:59:57"
"GroupBuild-website","MeritRank","2","3.125","2025-10-09T20:59:57"
"GroupBuild-website","Godspawn","2","3.125","2025-10-09T20:59:57"
"GroupBuild-website","GIBindex","2","3.125","2025-10-09T20:59:57"
"GroupBuild-website","CoPolitic","2","3.125","2025-10-09T20:59:57"
"GroupBuild-website","CoLaminar","2","3.125","2025-10-09T20:59:57"
"GroupBuild-website","CoCivium.clean","2","3.125","2025-10-09T20:59:57"
"GIBindex","RickPublic","1","3.125","2025-10-09T20:59:57"
"GroupBuild-website","CoCache","2","3.125","2025-10-09T20:59:57"
"GroupBuild-website","CoAgent__mvp3_resume-20250923-111953Z","2","3.125","2025-10-09T20:59:57"
"GIBindex","Opename","1","3.125","2025-10-09T20:59:57"
"GIBindex","Godspawn","1","3.125","2025-10-09T20:59:57"
"CoModules","CoPolitic","3","2.885","2025-10-09T20:59:57"
"CoModules","CoCivium-website","3","2.885","2025-10-09T20:59:57"
"CoModules","GroupBuild-website","3","2.885","2025-10-09T20:59:57"
"MeritRank","GIBindex","2","2.632","2025-10-09T20:59:58"
"MeritRank","Civium-Constitution","2","2.632","2025-10-09T20:59:58"
"MeritRank","CoAgent__mvp3_resume-20250923-111953Z","2","2.632","2025-10-09T20:59:58"
"MeritRank","CoModules","2","2.632","2025-10-09T20:59:58"
"MeritRank","GroupBuild-website","2","2.632","2025-10-09T20:59:58"
"MeritRank","InSeed","2","2.632","2025-10-09T20:59:58"
"MeritRank","opename-ops","2","2.632","2025-10-09T20:59:58"
"CoPolitic","Civium-Constitution","2","2.564","2025-10-09T20:59:57"
"CoPolitic","CoAgent__mvp3_resume-20250923-111953Z","2","2.564","2025-10-09T20:59:57"
"CoPolitic","GroupBuild-website","2","2.564","2025-10-09T20:59:57"
"CoPolitic","EntMent","2","2.564","2025-10-09T20:59:57"
"CoPolitic","GIBindex","2","2.564","2025-10-09T20:59:57"
"CoPolitic","CoCache","2","2.564","2025-10-09T20:59:57"
"Civium-Constitution","CoCivium.clean","5","2.513","2025-10-09T20:59:54"
"Civium-Constitution","Civium","5","2.513","2025-10-09T20:59:54"
"RickPublic","Opename","1","2.381","2025-10-09T20:59:58"
"RickPublic","MeritRank","1","2.381","2025-10-09T20:59:58"
"RickPublic","InSeed","1","2.381","2025-10-09T20:59:58"
"RickPublic","GroupBuild-website","1","2.381","2025-10-09T20:59:58"
"RickPublic","Godspawn","1","2.381","2025-10-09T20:59:58"
"RickPublic","GIBindex","1","2.381","2025-10-09T20:59:58"
"RickPublic","EntMent","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoRef","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoModules","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoLaminar","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoCivium.clean","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoCivium-outreach","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoCivium","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoAgent__mvp3_resume-20250923-111953Z","1","2.381","2025-10-09T20:59:58"
"RickPublic","Civium-Constitution","1","2.381","2025-10-09T20:59:58"
"RickPublic","Civium","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoPolitic","1","2.381","2025-10-09T20:59:58"
"RickPublic","CoAgent","1","2.381","2025-10-09T20:59:58"
"RickPublic","rickballard","1","2.381","2025-10-09T20:59:58"
"RickPublic","opename-ops","1","2.381","2025-10-09T20:59:58"
"CoAgent__mvp3_resume-20250923-111953Z","CoPolitic","2","2.381","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","GroupBuild-website","2","2.381","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","InSeed","2","2.381","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","MeritRank","2","2.381","2025-10-09T20:59:54"
"CoLaminar","Civium","1","2.326","2025-10-09T20:59:57"
"CoLaminar","rickballard","1","2.326","2025-10-09T20:59:57"
"CoLaminar","RickPublic","1","2.326","2025-10-09T20:59:57"
"CoLaminar","CoRef","1","2.326","2025-10-09T20:59:57"
"CoLaminar","Godspawn","1","2.326","2025-10-09T20:59:57"
"CoLaminar","EntMent","1","2.326","2025-10-09T20:59:57"
"CoAgent","InSeed","2","2.105","2025-10-09T20:59:54"
"CoAgent","GroupBuild-website","2","2.105","2025-10-09T20:59:54"
"CoAgent","Civium-Constitution","2","2.105","2025-10-09T20:59:54"
"CoAgent","opename-ops","2","2.105","2025-10-09T20:59:54"
"CoModules","MeritRank","2","1.923","2025-10-09T20:59:57"
"CoModules","InSeed","2","1.923","2025-10-09T20:59:57"
"CoModules","Godspawn","2","1.923","2025-10-09T20:59:57"
"Godspawn","CoCivium-outreach","2","1.887","2025-10-09T20:59:57"
"Godspawn","CoCivium","2","1.887","2025-10-09T20:59:57"
"Godspawn","GroupBuild-website","2","1.887","2025-10-09T20:59:57"
"Godspawn","CoModules","2","1.887","2025-10-09T20:59:57"
"Civium","Civium-Constitution","5","1.838","2025-10-09T20:59:53"
"InSeed","RickPublic","1","1.724","2025-10-09T20:59:58"
"InSeed","rickballard","1","1.724","2025-10-09T20:59:58"
"InSeed","opename-ops","1","1.724","2025-10-09T20:59:58"
"InSeed","Godspawn","1","1.724","2025-10-09T20:59:58"
"InSeed","CoRef","1","1.724","2025-10-09T20:59:58"
"InSeed","Civium-Constitution","1","1.724","2025-10-09T20:59:57"
"InSeed","Civium","1","1.724","2025-10-09T20:59:57"
"GroupBuild-website","RickPublic","1","1.562","2025-10-09T20:59:57"
"GroupBuild-website","Civium-Constitution","1","1.562","2025-10-09T20:59:57"
"GroupBuild-website","CoRef","1","1.562","2025-10-09T20:59:57"
"GroupBuild-website","EntMent","1","1.562","2025-10-09T20:59:57"
"GroupBuild-website","Opename","1","1.562","2025-10-09T20:59:57"
"GroupBuild-website","opename-ops","1","1.562","2025-10-09T20:59:57"
"GroupBuild-website","Civium","1","1.562","2025-10-09T20:59:57"
"GroupBuild-website","rickballard","1","1.562","2025-10-09T20:59:57"
"MeritRank","Godspawn","1","1.316","2025-10-09T20:59:58"
"MeritRank","rickballard","1","1.316","2025-10-09T20:59:58"
"MeritRank","CoRef","1","1.316","2025-10-09T20:59:58"
"MeritRank","RickPublic","1","1.316","2025-10-09T20:59:58"
"MeritRank","Civium","1","1.316","2025-10-09T20:59:58"
"MeritRank","EntMent","1","1.316","2025-10-09T20:59:58"
"CoCivium.clean","CoLaminar","15","1.307","2025-10-09T20:59:57"
"CoCivium-outreach","CoModules","21","1.287","2025-10-09T20:59:56"
"CoCivium-outreach","CoLaminar","21","1.287","2025-10-09T20:59:56"
"CoPolitic","RickPublic","1","1.282","2025-10-09T20:59:57"
"CoPolitic","rickballard","1","1.282","2025-10-09T20:59:57"
"CoPolitic","opename-ops","1","1.282","2025-10-09T20:59:57"
"CoPolitic","GroupBuild","1","1.282","2025-10-09T20:59:57"
"CoPolitic","Godspawn","1","1.282","2025-10-09T20:59:57"
"CoPolitic","CoRef","1","1.282","2025-10-09T20:59:57"
"CoPolitic","Civium","1","1.282","2025-10-09T20:59:57"
"CoCivium.clean","GIBindex","14","1.22","2025-10-09T20:59:57"
"CoAgent__mvp3_resume-20250923-111953Z","CoRef","1","1.19","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","RickPublic","1","1.19","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","rickballard","1","1.19","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","opename-ops","1","1.19","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","Opename","1","1.19","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","Godspawn","1","1.19","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","EntMent","1","1.19","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","Civium-Constitution","1","1.19","2025-10-09T20:59:54"
"CoAgent__mvp3_resume-20250923-111953Z","Civium","1","1.19","2025-10-09T20:59:54"
"CoCivium","CoModules","20","1.154","2025-10-09T20:59:56"
"CoCivium","CoLaminar","20","1.154","2025-10-09T20:59:56"
"CoCivium.clean","CoAgent","13","1.132","2025-10-09T20:59:57"
"Civium","CoCache","3","1.103","2025-10-09T20:59:53"
"CoAgent","RickPublic","1","1.053","2025-10-09T20:59:54"
"CoAgent","rickballard","1","1.053","2025-10-09T20:59:54"
"CoAgent","Godspawn","1","1.053","2025-10-09T20:59:54"
"CoAgent","EntMent","1","1.053","2025-10-09T20:59:54"
"CoAgent","CoRef","1","1.053","2025-10-09T20:59:54"
"CoAgent","Civium","1","1.053","2025-10-09T20:59:54"
"CoCivium.clean","CoAgent__mvp3_resume-20250923-111953Z","12","1.045","2025-10-09T20:59:57"
"Civium-Constitution","CoLaminar","2","1.005","2025-10-09T20:59:54"
"Civium-Constitution","CoPolitic","2","1.005","2025-10-09T20:59:54"
"Civium-Constitution","MeritRank","2","1.005","2025-10-09T20:59:54"
"Civium-Constitution","CoAgent","2","1.005","2025-10-09T20:59:54"
"Civium-Constitution","Opename","2","1.005","2025-10-09T20:59:54"
"CoCivium-outreach","GIBindex","16","0.98","2025-10-09T20:59:57"
"CoModules","Opename","1","0.962","2025-10-09T20:59:57"
"CoModules","EntMent","1","0.962","2025-10-09T20:59:57"
"CoModules","Civium-Constitution","1","0.962","2025-10-09T20:59:57"
"CoModules","opename-ops","1","0.962","2025-10-09T20:59:57"
"CoModules","rickballard","1","0.962","2025-10-09T20:59:57"
"CoModules","RickPublic","1","0.962","2025-10-09T20:59:57"
"CoModules","CoRef","1","0.962","2025-10-09T20:59:57"
"CoModules","Civium","1","0.962","2025-10-09T20:59:57"
"Godspawn","MeritRank","1","0.943","2025-10-09T20:59:57"
"Godspawn","Opename","1","0.943","2025-10-09T20:59:57"
"Godspawn","GIBindex","1","0.943","2025-10-09T20:59:57"
"Godspawn","CoPolitic","1","0.943","2025-10-09T20:59:57"
"Godspawn","CoRef","1","0.943","2025-10-09T20:59:57"
"Godspawn","Civium","1","0.943","2025-10-09T20:59:57"
"Godspawn","EntMent","1","0.943","2025-10-09T20:59:57"
"Godspawn","CoAgent__mvp3_resume-20250923-111953Z","1","0.943","2025-10-09T20:59:57"
"Godspawn","InSeed","1","0.943","2025-10-09T20:59:57"
"Godspawn","CoLaminar","1","0.943","2025-10-09T20:59:57"
"Godspawn","CoAgent","1","0.943","2025-10-09T20:59:57"
"Godspawn","RickPublic","1","0.943","2025-10-09T20:59:57"
"Godspawn","rickballard","1","0.943","2025-10-09T20:59:57"
"Godspawn","opename-ops","1","0.943","2025-10-09T20:59:57"
"Godspawn","CoCache","1","0.943","2025-10-09T20:59:57"
"Godspawn","Civium-Constitution","1","0.943","2025-10-09T20:59:57"
"Godspawn","CoCivium.clean","1","0.943","2025-10-09T20:59:57"
"CoCivium","GIBindex","15","0.866","2025-10-09T20:59:56"
"CoCivium-outreach","CoAgent","14","0.858","2025-10-09T20:59:56"
"CoCivium","CoAgent","14","0.808","2025-10-09T20:59:55"
"CoCivium.clean","CoCivium-website","9","0.784","2025-10-09T20:59:57"
"CoCivium-outreach","CoAgent__mvp3_resume-20250923-111953Z","12","0.735","2025-10-09T20:59:56"
"Civium","CoCivium.clean","2","0.735","2025-10-09T20:59:54"
"Civium","GIBindex","2","0.735","2025-10-09T20:59:54"
"CoCivium.clean","CoModules","8","0.697","2025-10-09T20:59:57"
"CoCivium","CoAgent__mvp3_resume-20250923-111953Z","12","0.692","2025-10-09T20:59:55"
"CoCivium","CoCache","10","0.577","2025-10-09T20:59:55"
"CoCivium-outreach","Civium-Constitution","9","0.551","2025-10-09T20:59:56"
